last_price,total_area,bedrooms,ceiling_height,floors_total,living_area,floor,bike_parking,studio,open_plan,kitchen_area,balcony,airports_nearest,cityCenters_nearest
134000,62,2,2.6,14,35,10,0,0,0,10,1,28858,11813
290000,85,2,3.1,20,23.3,7,0,0,0,39,0,10015,10263
97700,62,2,2.75,18,28,12,0,0,0,13,2,42298,21614
270000,104,3,2.7,15,80,3,0,0,0,18,0,12378,14969
220000,80,3,2.9,3,54.4,3,0,0,0,8.5,0,22407,5194
135980,50.9,1,2.85,9,19.7,4,0,0,0,12.2,1,21635,6027
189600,88.8,3,2.79,17,51.2,4,0,0,0,13.4,2,33272,12990
70000,30.64,1,2.5,5,17.4,4,0,0,0,5.61,1,42829,8577
154000,45,1,3,9,22,2,0,0,0,10,0,32079,5038
116000,69.6,3,2.65,12,43.9,12,0,0,0,8.1,5,32564,11638
108000,76.8,3,2.5,5,44.6,1,0,0,0,14.9,0,18118,21280
85000,36,1,2.75,6,17.1,4,0,0,0,9,0,18625,17628
300000,76,3,3,4,55.2,4,0,0,0,8.8,0,25934,6501
306000,97,3,3.5,7,61.4,2,0,0,0,9.5,0,17863,1463
358000,201.9,6,3.87,6,134.8,3,0,0,0,16.2,0,23915,3747
86000,43.1,2,3,4,28.5,3,0,0,0,6.1,0,21540,3659
144000,69.75,3,3.4,4,43.3,4,0,0,0,9.4,0,23486,3027
95000,37,1,2.8,18,19,5,0,0,0,10,0,12960,12342
73200,39,1,2.5,16,17,6,0,0,0,10,2,49820,15525
103000,44.3,1,2.8,4,23.4,2,0,0,0,18,0,22433,1257
180000,69.1,2,2.8,17,36,2,0,0,0,13,2,10796,14361
65800,30,1,2.6,9,15,1,0,0,0,7,0,10482,13051
96000,40.7,1,2.9,5,13.1,1,0,0,0,17,0,25116,5684
128000,67.2,3,2.75,10,42.5,10,0,0,0,8.2,0,9655,13255
170000,75.9,3,2.5,9,44.1,8,0,0,0,8.9,1,9774,10315
66000,29.8,1,2.5,9,23,2,0,0,0,6,0,35963,10391
60000,30.3,1,2.58,5,16,5,0,0,0,6.6,0,21490,14219
104000,70,2,3,4,43.1,4,0,0,0,7.5,1,27927,9815
79800,46.9,2,2.6,5,30.8,2,0,0,0,6,0,14435,16984
90000,42.2,2,2.5,7,27,5,0,0,0,6,0,43061,15565
59960,40,1,2.8,20,18.5,18,0,0,0,13,0,38171,15015
202000,70,3,3.1,5,41,1,0,0,0,8.9,0,21796,3324
157400,70,2,2.7,12,37,11,0,0,0,15.6,2,50926,15676
82000,46,2,2.54,5,27,1,0,0,0,6,0,14967,7848
169000,87.3,4,2.9,4,57.3,2,0,0,0,12.6,0,20141,4415
110000,54,2,2.56,10,17.5115,8,0,0,0,8.3,0,37273,12482
164000,71.6,3,2.5,12,43.3,11,0,0,0,8.7,0,30922,8294
84000,44.1,2,2.5,5,28.8,5,0,0,0,6,0,38999,8288
104000,46.3,1,2.7,10,24,5,0,0,0,11,2,16257,15144
490000,121.3,4,2.75,17,75,2,0,0,0,14,0,10195,11065
110000,50,2,2.75,5,32,3,0,0,0,6,0,23205,4840
231285.76,113.5,4,2.7,11,72.1,2,0,0,0,12,0,23808,5332
62000,28.9,1,3.5,5,13,1,0,0,0,13,0,21135,11413
95000,57,2,2.5,9,29.8,7,0,0,0,8.5,0,46227,14844
158000,69,2,2.5,13,37.8,3,0,0,0,13.3,0,37347,9820
90000,56.6,3,2.52,5,42,5,0,0,0,5.2,1,29953,8801
256984.18,113.5,4,2.7,11,72.1,2,0,0,0,12,0,24151,5777
84000,71.2,2,3.2,3,47.1,1,0,0,0,8.9,0,21394,16396
90000,32.5,1,2.5,22,15.6,8,0,0,0,8.8,0,26078,10251
71000,33,1,2.55,18,18,9,0,0,0,9,2,14861,12449
165000,86,3,3,5,58.1,3,0,0,0,9,0,20487,15289
114000,74.3,3,2.45,6,46.2,4,0,0,0,7.03,0,43318,8129
55000,31,1,2.55,5,18,4,0,0,0,6.4,0,32327,8360
103800,48.2,1,2.75,15,20,6,0,0,0,13.3,2,30088,10952
104000,54.2,2,2.7,9,31.1,4,0,0,0,8.8,0,25151,15984
68000,42.2,2,2.5,5,28.3,5,0,0,0,5.1,0,20864,16595
81880,41.8,1,2.78,25,18.1,7,0,0,0,11.1,2,33793,13662
77000,46,2,2.7,5,32,4,0,0,0,6,0,13445,11474
188000,85.5,3,2.85,5,62,5,0,0,0,10,1,22626,2485
110000,68.3,3,2.8,5,54.9,2,0,0,0,7,1,16869,5744
71000,31,1,2.5,9,16,8,0,0,0,8,0,35853,10522
79800,35.1,1,2.7,9,18.3,4,0,0,0,7,0,13608,16199
93000,40,1,2.6,16,20,7,0,0,0,10.8,2,14806,16850
259600,121.1,3,3.5,5,77.2,4,0,0,0,16.3,0,24616,5914
75000,45,2,2.5,5,28,4,0,0,0,6.5,1,17517,15904
194000,72,3,2.6,9,44.7,3,0,0,0,9.4,1,25103,15936
74000,47.3,2,2.6,9,27,1,0,0,0,9.5,2,28011,12534
328722.54,123,3,3,5,66,5,0,0,0,17.6,0,17720,16722
68000,32,1,2.5,5,18,2,0,0,0,7,1,36541,10831
197400,55.8,3,2.8,5,34,1,0,0,0,9,0,32859,5951
93400,35.8,1,2.7,16,14.3,3,0,0,0,9.8,2,26538,13343
105000,67.8,3,2.7,16,41.6,12,0,0,0,8.2,1,16798,14760
180000,68.1,3,2.5,10,45.1,3,0,0,0,8.2,0,51152,14152
159042.24,68.6,2,2.7,10,35.8,4,0,0,0,10.7,0,23639,5164
300000,91,3,3.3,4,43,4,0,0,0,26,0,24015,3847
172000,85,3,2.65,25,50,20,0,0,0,11,1,39180,16002
99800,54.9,2,2.65,12,32.5,12,0,0,0,10.1,2,21028,22740
239360,96.38,2,2.7,12,44.99,12,0,0,0,19.51,0,7399,13615
92000,45,2,2.6,14,24.7,10,0,0,0,7.4,0,36909,10659
64000,32,1,2.8,12,17,2,0,0,0,6,0,13482,14561
76000,35,1,2.5,6,17.5,1,0,0,0,6.5,0,11633,8850
104000,64,3,2.6,12,42.3,6,0,0,0,7,0,31520,12113
77000,40,1,2.65,12,20,6,0,0,0,10.1,0,34298,14600
82000,51,2,2.55,9,30.8,9,0,0,0,9.3,0,14831,13307
154000,58.5,2,3.23,6,34.2,5,0,0,0,7.9,0,21869,4087
119000,59,2,2.5,18,53,9,0,0,0,8.6,1,23278,7223
117800,51.9,1,2.7,25,17.8,25,0,0,0,11,2,13305,15896
138000,88,3,2.7,10,56,8,0,0,0,12,0,33517,13819
83000,34.2,1,2.6,12,17.6,5,0,0,0,8.7,2,35869,16170
74000,45.3,2,2.5,5,31,2,0,0,0,6.3,1,42320,14824
102000,64.4,3,2.57,14,41.4,5,0,0,0,7.4,0,32322,12831
128000,52.2,2,3,5,32.8,4,0,0,0,7.9,0,31633,4725
110000,43.2,1,3,19,30.6,15,0,0,0,10.5,2,51340,15363
82000,32,1,2.5,9,16,4,0,0,0,9,0,46911,16431
91800,56.1,3,2.5,5,42,1,0,0,0,5,0,7637,17813
164000,47.1,1,3,8,19,8,0,0,0,11.9,0,39393,11096
109359,62.85,2,2.7,25,33.87,17,0,0,0,11.59,2,15360,13094
65000,31,1,2.6,5,19,2,0,0,0,5,0,21225,14930
78000,30,1,2.7,14,16,1,0,0,0,8.5,0,32968,14132
84000,42,1,2.75,16,17,14,0,0,0,11,2,18357,21796
91000,50.3,2,2.55,9,28.3,5,0,0,0,7,0,29338,11270
108000,45,1,2.75,23,21.6,6,0,0,0,10,0,36724,9781
108000,60,3,2.5,9,35,5,0,0,0,6,2,31167,12455
130000,70,3,2.7,16,45,5,0,0,0,8,2,14809,13606
100000,47.4,2,2.7,12,26.1,3,0,0,0,9.8,0,50051,15114
240000,106,6,2.8,3,70,1,0,0,0,15,0,20290,4733
132000,48,1,3,9,19,4,0,0,0,15,0,23808,5332
87600,59.6,4,2.5,5,43.7,5,0,0,0,7.2,0,13153,9435
97800,58.3,3,2.53,5,44,2,0,0,0,6,0,17964,12739
113600,41.7,1,2.75,25,19.3,12,0,0,0,11.5,0,34816,15893
122000,72,3,2.65,12,44.4,9,0,0,0,8.1,0,33080,11357
169800,121.2,4,3,6,72.5,2,0,0,0,15.4,0,30987,4172
104000,54.4,2,2.75,9,29.7,2,0,0,0,8.8,2,13413,12209
75600,37,1,2.6,15,18,3,0,0,0,8.5,2,13783,12580
120000,45.9,1,3.75,6,24.4,4,0,0,0,10.1,0,26356,5058
676000,147,4,3,8,88.2,2,0,0,0,13.8,0,24463,5480
53900,30,1,2.5,5,16,3,0,0,0,7,0,21973,14703
85000,49.3,3,2.53,5,34.8,1,0,0,0,7.1,0,35284,10428
76000,35.76,1,2.65,24,14.1,11,0,0,0,11.6,2,33416,14557
120000,73.5,4,2.8,10,51,2,0,0,0,6.2,1,36209,13123
114000,86,3,2.75,19,52,10,0,0,0,12,1,34279,15447
110000,42,1,2.8,25,19,18,0,0,0,9,2,46061,18785
175000,49,1,3,7,17,3,0,0,0,12,1,32121,5080
69800,33.5,1,2.57,10,13,9,0,0,0,8.8,0,30276,11146
93800,58.3,3,2.5,9,39.5,2,0,0,0,6.4,5,49847,15702
290000,73.45,2,3.2,9,43.89,3,0,0,0,14.6,2,32551,4599
117000,60.7,3,2.5,14,39.3,13,0,0,0,7.8,4,41111,11243
93000,43,1,2.5,10,17.3,9,0,0,0,10.8,2,13189,12525
132000,74.3,4,2.6,9,52.3,3,0,0,0,6.3,0,29555,13297
119680,66,3,2.65,9,42,8,0,0,0,8,2,32742,13222
158000,53,2,3,6,30.4,1,0,0,0,7.6,0,24879,6177
109000,52,2,2.65,12,31,5,0,0,0,7.3,0,28813,6185
63800,44,1,2.7,16,20,4,0,0,0,14,1,18357,21796
210000,86,3,2.5,14,49,8,0,0,0,14,0,10590,13966
192000,74.7,3,2.75,19,41.9,17,0,0,0,13,0,37948,14769
212000,85,4,3.4,5,57.2,4,0,0,0,12.6,0,21849,1325
148000,70.7,3,2.65,12,45.1,12,0,0,0,8.2,5,27762,12285
110000,40.2,1,3,14,20,11,0,0,0,10,0,44132,10914
100000,56,2,2.55,9,30.2,6,0,0,0,8.2,0,13430,14405
71000,34,1,2.6,9,17.6,7,0,0,0,8,1,47677,16136
82000,31.7,1,2.65,5,18,4,0,0,0,6,1,10452,9802
134000,83,3,3.4,5,58,3,0,0,0,8.4,0,24522,5089
134000,81,3,2.6,5,50,5,0,0,0,11,0,47362,25925
132000,71,3,2.6,16,47,13,0,0,0,8,2,26706,10879
130000,43.8,1,2.8,16,21.1,15,0,0,0,12.1,2,10069,13445
78000,34.2,1,3,5,17,3,0,0,0,6.7,1,29826,8532
100000,56.8,3,2.6,9,40.6,9,0,0,0,6,5,32457,11593
160000,59,1,2.74,21,20,18,0,0,0,17.4,2,27543,9432
138000,67.8,3,2.8,14,42,3,0,0,0,10.5,1,35451,15753
115320,62,2,3.75,25,28,2,0,0,0,15,0,51443,13370
65000,32,1,2.5,5,17.6,3,0,0,0,5.5,0,35904,9872
83800,49,4,2.6,5,37.1,2,0,0,0,5.3,0,21854,14516
150000,63,2,2.8,15,31,8,0,0,0,13,0,34530,14398
84000,42,2,2.5,5,28,2,0,0,0,6.5,0,21225,14930
74000,32,1,2.65,12,15,7,0,0,0,7.5,0,9569,11687
80400,48,2,2.5,9,30.4,2,0,0,0,8.4,1,17240,17148
78000,50,3,2.6,5,35,4,0,0,0,7.4,1,25805,13612
174000,102,4,3,4,63,2,0,0,0,11,0,22005,1542
92000,62.1,2,2.55,10,30,9,0,0,0,12.8,2,18414,21839
102000,63,3,2.8,4,43.5,4,0,0,0,8,0,22834,2947
124000,56.6,2,2.5,16,31,11,0,0,0,7.5,0,14755,13551
63800,33.5,1,2.5,9,19,4,0,0,0,7,0,31476,12635
160000,59,2,3.35,6,37.8,3,0,0,0,8.3,0,31447,5130
72000,44,2,2.53,3,27,2,0,0,0,6,1,35915,15306
357000,171,3,2.55,11,80,10,0,0,0,45,0,31118,7257
182000,64.7,2,2.8,14,35.7,2,0,0,0,11,0,11942,8774
121000,54.5,2,2.85,24,30.3,2,0,0,0,12.2,0,33620,14784
430000,140,4,3,4,70,3,0,0,0,58,0,38332,13229
126000,59,2,2.7,17,29.3,2,0,0,0,12.4,2,35714,12628
116000,40.5,1,2.8,16,16.4,8,0,0,0,11.7,0,29167,8106
97000,44,1,2.75,21,17,11,0,0,0,12,0,35662,16699
175000,83.1,3,2.5,9,53.5,2,0,0,0,9,2,40368,12071
100000,41,1,2.7,16,17,4,0,0,0,10.5,2,14112,14857
127900,75,3,2.7,12,44.3,4,0,0,0,8.2,0,50303,15631
60000,29.3,1,2.6,5,14.5,3,0,0,0,7.2,0,41005,13508
98000,37,1,2.65,17,15.4,7,0,0,0,10.1,0,35452,15458
102000,63,2,2.7,12,33,2,0,0,0,14,0,16087,14883
284000,121,3,2.75,16,76,8,0,0,0,12,0,38900,12843
223980,91.8,2,3.5,5,36.6,3,0,0,0,17.2,0,24564,4782
279800,94.3,3,2.8,10,28.9,6,0,0,0,31.2,0,27907,6754
61980,32.5,1,2.8,9,17.5,8,0,0,0,6.5,0,51708,16890
156000,83,3,2.65,16,49.3,7,0,0,0,12,0,20473,22185
113000,76,4,2.5,9,52,1,0,0,0,7.8,0,49599,13914
84000,44.6,2,2.55,5,28.6,5,0,0,0,5.7,0,35998,9585
120000,55,2,1,12,32.4,7,0,0,0,10,0,33053,14217
132000,64,2,2.75,5,35,1,0,0,0,10,0,19350,4176
136000,76,2,2.75,23,39,18,0,0,0,15,2,34967,14640
88000,55.5,2,2.6,12,31,11,0,0,0,11,2,35763,9934
72400,41.5,3,2.52,5,29.7,5,0,0,0,5.2,0,19344,12811
66800,36,2,2.5,5,23,5,0,0,0,6,0,14341,12882
185400,68.9,2,3,6,47,4,0,0,0,10,0,20488,2143
186000,89.4,3,2.6,14,49.7,4,0,0,0,14.6,4,52239,16464
114000,51.4,2,2.64,12,32.7,12,0,0,0,7,0,31932,12525
80000,60,3,2.5,9,44,8,0,0,0,6,0,22412,16982
350000,131.8,3,2.6,12,81.6,7,0,0,0,17.7,0,29503,6040
138000,65.3,2,2.75,25,38,2,0,0,0,14,0,36410,14528
123900,42.6,1,2.8,24,16.8,17,0,0,0,12.5,1,11596,13277
260000,60,2,2.6,3,37,2,0,0,0,7,0,23473,1796
71000,39,1,2.65,16,16.2,4,0,0,0,10.2,0,20901,22613
260000,91,3,2.8,25,45.5,24,0,0,0,12.5,0,51340,15363
62000,33.3,1,2.54,14,17.5,8,0,0,0,7.3,1,34160,11725
199600,63.4,2,3.2,5,36.3,2,0,0,0,10.9,0,23343,4125
105100,63,3,2.5,9,45.9,1,0,0,0,6,2,14843,16432
65000,33,1,2.6,9,18.7,7,0,0,0,6.8,0,13943,16534
179800,96.4,3,3.54,4,59.5,2,0,0,0,12,0,22079,3344
87800,45,1,3.3,16,19,5,0,0,0,10,2,41236,11369
150000,82,2,3,11,30,9,1,0,0,31,2,10143,11367
98000,55.2,3,2.5,5,38.2,4,0,0,0,6,0,35515,10574
103000,48,2,2.57,10,18,7,0,0,0,23,0,34907,15208
92000,37,1,2.8,16,17.7,5,0,0,0,8,0,38082,14481
74000,35,1,2.7,16,18,2,0,0,0,10,0,32969,14133
91000,42.3,1,2.56,10,17.2,1,0,0,0,13.8,0,33584,14683
76000,37,1,2.5,14,20,12,0,0,0,8,0,23996,11565
240000,110.2,3,3.52,6,57.3,3,0,0,0,18.3,0,24110,3677
73000,43.2,1,2.8,22,14,2,0,0,0,15,1,15377,13486
92000,36,1,2.7,20,19.5,10,0,0,0,9,0,44382,16921
152000,60,2,3,3,18,1,0,0,0,23,0,23932,4232
145000,61,2,3.3,6,35,4,0,0,0,8,0,20260,15061
256000,113.2,4,2.85,6,76.8,2,0,0,0,13.7,0,24702,4982
104000,50,2,2.5,9,27,2,0,0,0,6,0,11925,10107
88000,45,2,2.5,5,29,3,0,0,0,6,0,11127,9961
157800,63,2,2.5,10,33,3,0,0,0,10,2,13520,12316
310000,121,3,2.7,23,55.5,22,0,0,0,29.3,5,40417,12120
97000,59.7,3,4.19,5,46.3,4,0,0,0,6.4,1,42964,15468
218000,64,3,2.7,4,44,1,0,0,0,9,0,22562,3828
146000,52.1,2,3,7,31,7,0,0,0,5.6,0,17006,6745
180000,90,3,3.2,8,63.2,5,0,0,0,9,0,19641,14905
120000,62.6,2,2.65,23,31,20,0,0,0,11,2,43074,10820
394274.8,178.3,4,3,5,73.5,1,0,0,0,39.9,0,16889,15891
137000,47.8,2,2.7,3,22.45,2,0,0,0,11.33,0,44550,8760
116000,51.7,1,2.65,16,29.9,3,0,0,0,7.7,2,35098,13168
210000,112,4,3,6,64.9,4,0,0,0,15.4,1,21655,2056
144000,44.4,1,2.75,25,21,6,0,0,0,11.5,2,36598,12120
124000,44.1,1,2.75,16,20.74,3,0,0,0,9.62,2,12378,14969
1299800,139,3,3,8,3,8,0,0,0,16,1,33255,5975
172000,67.3,2,2.8,25,35,9,0,0,0,14.1,0,36421,9176
66000,45.7,2,2.55,5,31.4,5,0,0,0,6.6,0,18233,16034
123000,77,3,2.68,18,42.8,18,0,0,0,12.6,1,42114,21430
57760,30.2,1,2.53,9,15,2,0,0,0,8,5,32524,9601
80000,44.3,2,2.58,9,27,4,0,0,0,7,0,12847,15438
136000,52.8,2,2.75,10,27.3,10,0,0,0,10.6,1,15936,11474
340000,85,2,2.9,5,44.2,3,0,0,0,24.4,0,27686,8393
124000,47.2,1,2.75,5,17.1,5,0,0,0,19.7,1,18090,17092
156000,57,2,2.65,16,36,13,0,0,0,11,2,29840,7211
80000,45.3,2,2.6,5,30.4,5,0,0,0,6.3,0,27553,8261
262000,65,2,3.2,10,31,9,0,0,0,11,2,25799,4593
131000,70.8,3,2.67,16,43,12,0,0,0,10.7,1,15760,15976
90000,49.1,2,3,3,28.9,3,0,0,0,9.5,0,21969,6243
200000,85.2,3,3.25,6,51.9,4,0,0,0,10.2,0,24036,4299
67800,34.5,1,2.65,14,17.6,4,0,0,0,7.4,1,25430,11220
95000,34.4,1,2.7,25,16,25,0,0,0,10.2,2,46530,15541
57000,68,1,3,5,41,3,0,0,0,10,0,38473,7740
65000,31.8,1,2.5,5,18,1,0,0,0,6,0,39095,8861
183000,86,3,2.8,17,55,4,0,0,0,13,0,35181,11592
106000,49,2,2.6,4,29,4,0,0,0,13,0,23196,4831
131000,55,2,2.82,3,25.5,1,0,0,0,10.6,0,24024,3856
290000,97,3,2.75,14,53.3,2,0,0,0,17.7,2,39660,12480
92000,51,2,2.6,9,30.7,8,0,0,0,7,2,12975,15566
59000,31.6,1,2.5,5,17.6,5,0,0,0,6,0,18703,15454
186000,83.4,3,2.84,7,55,5,0,0,0,12.3,0,23404,2945
119000,46,1,2.6,10,18.2,5,0,0,0,10.7,1,48152,16785
99000,63,3,2.6,9,40,3,0,0,0,9.5,0,14212,13009
74000,46,2,2.5,5,28,5,0,0,0,7,0,45943,18667
131000,56,2,3.4,5,35,4,0,0,0,8.1,1,27736,6931
90000,45,2,2.5,9,28,2,0,0,0,7,1,46240,14856
146000,65.6,3,3.5,5,38,1,0,0,0,10,0,22190,1742
124000,61,2,3.54,5,32,1,0,0,0,12,0,20136,6234
98000,64,3,2.55,15,43,5,0,0,0,10.3,2,15411,14207
443800,197,7,2.9,6,107.6,1,0,0,0,5,0,21583,1211
138000,80,3,2.6,12,46,10,0,0,0,15,1,20498,22210
200000,83.1,2,2.8,16,45.3,7,0,0,0,12,4,37244,12765
171200,65.7,2,2.76,11,30.9,6,0,0,0,13.1,1,31364,5045
375540,181.5,6,3.6,6,125.1,4,0,0,0,16.9,0,24376,4639
129000,50.5,2,3.04,5,30.3,1,0,0,0,6.3,0,24904,5472
116000,52,2,2.5,14,34.3,6,0,0,0,7.6,0,40088,11782
133800,53,2,2.8,20,31,18,0,0,0,9,2,19362,21074
88000,34.8,1,2.6,16,17.9,10,0,0,0,8.8,2,43431,12188
99980,36.4,1,2.6,23,18.3,7,0,0,0,9.9,1,28959,10890
186000,77.81,2,2.76,17,66.01,5,0,0,0,13.35,2,11752,9659
84800,39.6,1,2.68,25,20,17,0,0,0,10.4,1,42507,9798
72000,42.4,2,2.5,5,28,3,0,0,0,5.5,1,10876,11285
112000,57.8,2,2.6,18,34.3,14,0,0,0,12,0,10010,13271
115000,67,3,2.7,17,38.4,5,0,0,0,7.4,0,18243,16045
1500000,222,4,3.6,5,160,4,0,0,0,30,0,21887,573
132000,66.9,3,3,2,48,2,0,0,0,7,4,39192,10895
224000,88.4,3,2.55,17,51.7,11,0,0,0,13.5,5,13172,11969
610000,104,3,3,12,59,4,0,0,0,13,1,26933,5780
96000,64,3,3.2,5,38,4,0,0,0,9,0,28845,7692
167000,101.4,4,2.82,3,74.4,3,0,0,0,10.6,0,21629,4257
269200,136.2,4,3,6,99.5,5,0,0,0,10.2,0,25997,4699
134000,36,2,2.75,3,25,1,0,0,0,6,0,24930,5498
112000,51,2,2.64,12,27.2,2,0,0,0,11,0,33700,12430
118000,81.5,3,3.5,6,43.7,1,0,0,0,13.8,0,21230,1953
310000,111,2,2.75,16,51.2,10,0,0,0,26.2,2,29829,7201
240000,120,3,2.75,16,64.4,5,0,0,0,22.6,0,48783,16622
132000,62,3,2.5,9,42.1,4,0,0,0,8.3,0,36263,9706
111000,41,1,2.65,17,17,11,0,0,0,10,0,36688,11841
105000,57.1,3,2.53,9,39,8,0,0,0,6.1,1,19816,11347
90000,56.3,3,2.6,5,38.8,2,0,0,0,6.1,0,40619,11663
106000,64.3,3,2.85,5,51.3,2,0,0,0,7,0,19755,14042
170000,58.5,2,3,6,32,2,0,0,0,9.2,0,27016,5718
266000,79.6,2,3,8,42.7,7,0,0,0,18,0,39393,11096
67000,30,1,2.5,9,16,9,0,0,0,7,0,17942,14060
90000,61.4,3,2.58,5,43.6,1,0,0,0,7.4,0,17492,17697
278000,107.8,3,3,4,40.9,3,0,0,0,36.3,0,40005,15289
137000,65.5,2,2.65,15,39.2,13,0,0,0,10.6,2,27573,9436
96000,42,1,2.6,9,18.6,3,0,0,0,10.8,2,33205,12109
131000,67.7,3,3.1,5,49.5,2,0,0,0,7.6,0,21681,6073
96000,44.5,2,3.2,6,33,6,0,0,0,7,0,32478,5262
417000,97,3,2.8,25,64,20,0,0,0,17,0,28116,11870
288000,53,2,3.2,5,32.4,4,0,0,0,8,0,24281,3848
136000,50.9,1,3,5,19.8,5,0,0,0,10.4,0,33814,6947
128000,68,2,2.7,10,33,8,0,0,0,11,1,14811,13607
146100,41.52,1,3,9,17.1,9,0,0,0,13.25,1,31401,5082
92000,47,2,2.6,9,27,8,0,0,0,9.4,0,27616,12199
100000,52,2,2.6,12,33,3,0,0,0,7,0,16117,11360
131400,49,1,3,13,19,10,0,0,0,13.6,2,37434,8460
